Stamp,StationId,SpeedLimit,Dis2inter,Str_is_val,StrSignalState,StrlikelyEndTime,Left_is_val,LeftSignalState,LeftlikelyEndTime,Right_is_val,RighSignalState,RightlikelyEndTime
1600671628.605,8004,16.667,76.7,1,3,4.9,1,5,1.9000000000000001,0,5,27.900000000000002
1600671628.705,8004,16.667,76.7,1,3,4.800000000000001,1,5,1.8,0,5,27.8
1600671628.805,8004,16.667,76.7,1,3,4.7,1,5,1.7000000000000002,0,5,27.700000000000003
1600671628.905,8004,16.667,76.7,1,3,4.6000000000000005,1,5,1.6,0,5,27.6
1600671629.005,8004,16.667,76.7,1,3,4.5,1,5,1.5,0,5,27.5
1600671629.105,8004,16.667,76.7,1,3,4.4,1,5,1.4000000000000001,0,5,27.400000000000002
1600671629.205,8004,16.667,76.7,1,3,4.3,1,5,1.3,0,5,27.3
1600671629.305,8004,16.667,76.7,1,3,4.2,1,5,1.2000000000000002,0,5,27.200000000000003
1600671629.405,8004,16.667,76.7,1,3,4.1000000000000005,1,5,1.1,0,5,27.1
1600671629.505,8004,16.667,76.7,1,3,4.0,1,5,1.0,0,5,27.0
1600671629.605,8004,16.667,76.7,1,3,3.9000000000000004,1,5,0.9,0,5,26.900000000000002
1600671629.705,8004,16.667,76.7,1,3,3.8000000000000003,1,5,0.8,0,5,26.8
1600671629.805,8004,16.667,76.7,1,3,3.7,1,5,0.7000000000000001,0,5,26.700000000000003
1600671629.905,8004,16.667,76.7,1,3,3.6,1,5,0.6000000000000001,0,5,26.6
1600671630.005,8004,16.667,76.7,1,3,3.5,1,5,0.5,0,5,26.5
1600671630.105,8004,16.667,76.7,1,3,3.4000000000000004,1,5,0.4,0,5,26.400000000000002
1600671630.205,8004,16.667,76.7,1,3,3.3000000000000003,1,5,0.30000000000000004,0,5,26.3
1600671630.305,8004,16.667,76.7,1,3,3.2,1,5,0.2,0,5,26.200000000000003
1600671630.405,8004,16.667,76.7,1,3,3.1,1,5,0.1,0,5,26.1
1600671630.505,8004,16.667,76.7,1,3,3.0,1,5,0.0,0,5,26.0
1600671630.591,8004,16.667,76.6,1,3,2.9000000000000004,1,7,2.9000000000000004,0,5,25.900000000000002
1600671630.691,8004,16.667,76.6,1,3,2.8000000000000003,1,7,2.8000000000000003,0,5,25.8
1600671630.791,8004,16.667,76.6,1,3,2.7,1,7,2.7,0,5,25.700000000000003
1600671630.891,8004,16.667,76.6,1,3,2.6,1,7,2.6,0,5,25.6
1600671630.991,8004,16.667,76.6,1,3,2.5,1,7,2.5,0,5,25.5
1600671631.091,8004,16.667,76.6,1,3,2.4000000000000004,1,7,2.4000000000000004,0,5,25.400000000000002
1600671631.191,8004,16.667,76.6,1,3,2.3000000000000003,1,7,2.3000000000000003,0,5,25.3
1600671631.291,8004,16.667,76.6,1,3,2.2,1,7,2.2,0,5,25.200000000000003
1600671631.391,8004,16.667,76.6,1,3,2.1,1,7,2.1,0,5,25.1
1600671631.491,8004,16.667,76.6,1,3,2.0,1,7,2.0,0,5,25.0
1600671631.591,8004,16.667,76.6,1,3,1.9000000000000001,1,7,1.9000000000000001,0,5,24.900000000000002
1600671631.691,8004,16.667,76.6,1,3,1.8,1,7,1.8,0,5,24.8
1600671631.791,8004,16.667,76.6,1,3,1.7000000000000002,1,7,1.7000000000000002,0,5,24.700000000000003
