curTimeStamp,longitude,latitude,UtmX,UtmY,Yaw,Speed,stationId,SpeedLimit,dis2inter,Str_is_val,StrSignalState,StrlikelyEndTime,Left_is_val,LeftSignalState,LeftlikelyEndTime,Right_is_val,RighSignalState,RightlikelyEndTime,TarId,TarDistance,TarAngle,TarSpeed
1600671787.338391	,118.759670	,31.977737	,666261.942473	,3539320.408568	,4.606410	,41.185577	,8003	,16.667000	,115.800000	,1	,5	,34.700000	,1	,3	,37.700000	,0	,0	,3276.700000	
1600671787.439156	,118.759658	,31.977736	,666260.803653	,3539320.269102	,4.606302	,41.114281	,8003	,16.667000	,115.800000	,1	,5	,34.600000	,1	,3	,37.600000	,0	,0	,3276.700000	
1600671787.538340	,118.759646	,31.977735	,666259.665548	,3539320.127638	,4.606255	,41.052319	,8003	,16.667000	,115.800000	,1	,5	,34.500000	,1	,3	,37.500000	,0	,0	,3276.700000	
1600671787.638149	,118.759634	,31.977734	,666258.543816	,3539319.989973	,4.605554	,40.943200	,8003	,16.667000	,104.600000	,1	,5	,34.400000	,1	,3	,37.400000	,0	,0	,3276.700000	
1600671787.737939	,118.759622	,31.977733	,666257.416439	,3539319.848096	,4.605045	,40.788180	,8003	,16.667000	,104.600000	,1	,5	,34.300000	,1	,3	,37.300000	,0	,0	,3276.700000	
1600671787.838777	,118.759610	,31.977732	,666256.291679	,3539319.706390	,4.604701	,40.649794	,8003	,16.667000	,104.600000	,1	,5	,34.200000	,1	,3	,37.200000	,0	,0	,3276.700000	
1600671787.938861	,118.759598	,31.977731	,666255.182316	,3539319.566366	,4.604140	,40.504089	,8003	,16.667000	,104.600000	,1	,5	,34.100000	,1	,3	,37.100000	,0	,0	,3276.700000	
1600671788.038039	,118.759586	,31.977730	,666254.069469	,3539319.422765	,4.603483	,40.296253	,8003	,16.667000	,104.600000	,1	,5	,34.000000	,1	,3	,37.000000	,0	,0	,3276.700000	
1600671788.139143	,118.759575	,31.977728	,666252.962140	,3539319.277048	,4.602881	,40.096816	,8003	,16.667000	,104.600000	,1	,5	,33.900000	,1	,3	,36.900000	,0	,0	,3276.700000	
1600671788.238508	,118.759563	,31.977727	,666251.858476	,3539319.134460	,4.602423	,39.891646	,8003	,16.667000	,104.600000	,1	,5	,33.800000	,1	,3	,36.800000	,0	,0	,3276.700000	
1600671788.339199	,118.759552	,31.977726	,666250.773861	,3539318.989420	,4.601714	,39.679153	,8003	,16.667000	,104.600000	,1	,5	,33.700000	,1	,3	,36.700000	,0	,0	,3276.700000	
1600671788.438963	,118.759540	,31.977725	,666249.682986	,3539318.843629	,4.601129	,39.455765	,8003	,16.667000	,104.600000	,1	,5	,33.600000	,1	,3	,36.600000	,0	,0	,3276.700000	
1600671788.538491	,118.759528	,31.977724	,666248.600809	,3539318.696869	,4.600473	,39.217702	,8003	,16.667000	,104.600000	,1	,5	,33.500000	,1	,3	,36.500000	,0	,0	,3276.700000	
1600671788.638177	,118.759517	,31.977723	,666247.534035	,3539318.554439	,4.599802	,39.003299	,8003	,16.667000	,93.200000	,1	,5	,33.400000	,1	,3	,36.400000	,0	,0	,3276.700000	
1600671788.738380	,118.759506	,31.977721	,666246.463119	,3539318.408535	,4.599056	,38.745335	,8003	,16.667000	,93.200000	,1	,5	,33.300000	,1	,3	,36.300000	,0	,0	,3276.700000	
