stationID	curTimeStamp	curSpeed	bottomSpeed	upperSpeed
8013	1600671955.160	10.8	9.0	16.7
8013	1600671955.660	10.7	9.0	16.7
8013	1600671956.160	10.5	9.0	16.7
8013	1600671956.661	10.4	8.9	16.7
8013	1600671957.161	10.3	8.9	16.7
8013	1600671957.660	10.2	8.9	16.7
8013	1600671958.160	10.1	8.9	16.7
8013	1600671958.660	10.0	8.8	16.7
8013	1600671959.151	9.9	8.8	16.7
8013	1600671959.661	9.8	8.8	16.7
8013	1600671960.160	9.6	8.8	16.7
8013	1600671960.660	8.9	8.8	16.7
8013	1600671961.160	8.2	8.8	16.7
8013	1600671961.661	7.5	8.8	16.7
8013	1600671962.160	6.8	8.8	16.7
8013	1600671962.660	5.9	8.9	16.7
8013	1600671963.160	4.8	9.0	16.7
8013	1600671963.661	3.6	9.1	16.7
8013	1600671964.161	2.5	9.3	16.7
8013	1600671964.660	1.4	9.5	16.7
8013	1600671965.161	0.7	9.7	16.7
8013	1600671965.662	0.2	10.0	16.7
8013	1600671966.163	-0.1	10.3	16.7
8013	1600671966.665	-0.1	10.6	16.7
8013	1600671967.166	-0.0	10.9	16.7
8013	1600671967.667	-0.0	11.3	16.7
8013	1600671968.168	-0.0	11.6	16.7
8013	1600671968.670	-0.0	12.0	16.7
8013	1600671969.170	-0.0	12.5	16.7
8013	1600671969.671	-0.0	12.9	16.7
8013	1600671970.172	-0.0	13.4	16.7
8013	1600671970.673	-0.0	14.0	16.7
8013	1600671971.174	-0.0	14.6	16.7
8013	1600671971.675	-0.0	15.2	16.7
8013	1600671972.176	-0.0	15.9	16.7
8013	1600671972.677	-0.0	0.0	0.0
8013	1600671973.177	-0.0	0.0	0.0
8013	1600671973.678	-0.0	0.0	0.0
8013	1600671974.179	-0.0	0.0	0.0
8013	1600671974.587	-0.0	0.0	0.0
8013	1600671975.082	-0.0	0.0	0.0
8013	1600671975.582	-0.0	0.0	0.0
8013	1600671976.083	-0.0	0.0	0.0
8013	1600671976.583	-0.0	0.0	0.0
8013	1600671977.085	-0.0	0.0	0.0
8013	1600671977.585	-0.0	0.0	0.0
8013	1600671978.085	-0.0	0.0	0.0
8013	1600671978.586	-0.0	0.0	0.0
8013	1600671979.088	-0.0	0.0	0.0
8013	1600671979.589	-0.0	0.0	0.0
8013	1600671980.086	-0.0	0.0	0.0
8013	1600671980.587	-0.0	0.0	0.0
8013	1600671981.088	-0.0	0.0	0.0
8013	1600671981.589	-0.0	0.0	0.0
8013	1600671982.088	-0.0	0.0	0.0
8013	1600671982.590	-0.0	0.0	0.0
8013	1600671983.189	-0.0	5.6	16.7
8013	1600671983.690	-0.0	5.6	16.7
8013	1600671984.090	-0.0	5.6	16.7
8013	1600671984.691	-0.0	5.6	16.7
8013	1600671985.185	-0.0	5.6	16.7
8013	1600671985.591	-0.0	5.6	16.7
8013	1600671985.991	-0.0	5.6	16.7
8013	1600671986.592	-0.0	0.0	0.0
8013	1600671987.092	-0.0	0.0	0.0
8013	1600671987.592	-0.0	0.0	0.0
8013	1600671988.193	-0.0	0.0	0.0
8013	1600671988.593	-0.0	0.0	0.0
8013	1600671989.094	-0.0	0.0	0.0
8013	1600671989.593	-0.0	0.0	0.0
8013	1600671990.094	-0.0	0.0	0.0
8013	1600671990.594	-0.0	0.0	0.0
8013	1600671991.094	-0.0	0.0	0.0
8013	1600671991.595	-0.0	0.0	0.0
8013	1600671992.096	-0.0	0.0	0.0
8013	1600671992.596	-0.0	0.0	0.0
8013	1600671993.095	-0.0	0.0	0.0
8013	1600671993.595	-0.0	0.0	0.0
8013	1600671994.098	-0.0	0.0	0.0
8013	1600671994.597	-0.0	0.0	0.0
